;  LST file generated by mikroListExporter - v.2.0 
; Date/Time: 1/9/2017 5:59:47 PM
;----------------------------------------------

;Address Opcode 	ASM
0x0840	0x285C      	GOTO       L_main98
;demo_simple_8.c,623 :: 		chargingEnabled = 0;
0x0841	0x01A2      	CLRF       _chargingEnabled
0x0842	0x01A3      	CLRF       _chargingEnabled+1
;demo_simple_8.c,624 :: 		if (inverterState == inv_normal){
0x0843	0x083F      	MOVF       _inverterState, 0
0x0844	0x3A00      	XORLW      0
0x0845	0x1D03      	BTFSS      STATUS, 2
0x0846	0x2854      	GOTO       L_main99
;demo_simple_8.c,625 :: 		getOverload();
0x0847	0x118A      	BCF        PCLATH, 3
0x0848	0x21EB      	CALL       _getOverload
0x0849	0x158A      	BSF        PCLATH, 3
;demo_simple_8.c,627 :: 		doFeedback();
0x084A	0x118A      	BCF        PCLATH, 3
0x084B	0x228D      	CALL       _doFeedback
0x084C	0x158A      	BSF        PCLATH, 3
;demo_simple_8.c,628 :: 		TMR1IF_bit = 0;
0x084D	0x1283      	BCF        STATUS, 5
0x084E	0x100C      	BCF        TMR1IF_bit, 0
;demo_simple_8.c,629 :: 		lcdCounter++;
0x084F	0x0A5A      	INCF       _lcdCounter, 0
0x0850	0x00F0      	MOVWF      R0
0x0851	0x0870      	MOVF       R0, 0
0x0852	0x00DA      	MOVWF      _lcdCounter
;demo_simple_8.c,631 :: 		}
0x0853	0x285B      	GOTO       L_main100
L_main99:
;demo_simple_8.c,633 :: 		if (TMR1IF_bit){
0x0854	0x1C0C      	BTFSS      TMR1IF_bit, 0
0x0855	0x285B      	GOTO       L_main101
;demo_simple_8.c,634 :: 		lcdCounter++;
0x0856	0x0A5A      	INCF       _lcdCounter, 0
0x0857	0x00F0      	MOVWF      R0
0x0858	0x0870      	MOVF       R0, 0
0x0859	0x00DA      	MOVWF      _lcdCounter
;demo_simple_8.c,635 :: 		TMR1IF_bit = 0;
0x085A	0x100C      	BCF        TMR1IF_bit, 0
;demo_simple_8.c,636 :: 		}
L_main101:
;demo_simple_8.c,637 :: 		}
L_main100:
;demo_simple_8.c,638 :: 		}
0x085B	0x28FF      	GOTO       L_main102
L_main98:
;demo_simple_8.c,640 :: 		if (mainsStarted == 1){
0x085C	0x0861      	MOVF       _mainsStarted, 0
0x085D	0x3A01      	XORLW      1
0x085E	0x1D03      	BTFSS      STATUS, 2
0x085F	0x28F8      	GOTO       L_main103
;demo_simple_8.c,641 :: 		if (chgDelay == 0){
0x0860	0x0835      	MOVF       _chgDelay, 0
0x0861	0x3A00      	XORLW      0
0x0862	0x1D03      	BTFSS      STATUS, 2
0x0863	0x28DA      	GOTO       L_main104
;demo_simple_8.c,642 :: 		if (TMR1IF_bit){
0x0864	0x1C0C      	BTFSS      TMR1IF_bit, 0
0x0865	0x28D9      	GOTO       L_main105
;demo_simple_8.c,643 :: 		lcdCounter++;
0x0866	0x0A5A      	INCF       _lcdCounter, 0
0x0867	0x00F0      	MOVWF      R0
0x0868	0x0870      	MOVF       R0, 0
0x0869	0x00DA      	MOVWF      _lcdCounter
;demo_simple_8.c,644 :: 		delayCounter2++;
0x086A	0x0A31      	INCF       _delayCounter2, 0
0x086B	0x00F0      	MOVWF      R0
0x086C	0x0870      	MOVF       R0, 0
0x086D	0x00B1      	MOVWF      _delayCounter2
;demo_simple_8.c,645 :: 		if (delayCounter2 == 2){
0x086E	0x0831      	MOVF       _delayCounter2, 0
0x086F	0x3A02      	XORLW      2
0x0870	0x1D03      	BTFSS      STATUS, 2
0x0871	0x28D8      	GOTO       L_main106
;demo_simple_8.c,646 :: 		delayCounter++;
0x0872	0x0A30      	INCF       _delayCounter, 0
0x0873	0x00F0      	MOVWF      R0
0x0874	0x0870      	MOVF       R0, 0
0x0875	0x00B0      	MOVWF      _delayCounter
;demo_simple_8.c,647 :: 		chargingDuty_buffer = (vAc * 32) / 184;
0x0876	0x3005      	MOVLW      5
0x0877	0x00F2      	MOVWF      R2
0x0878	0x085B      	MOVF       _vAc, 0
0x0879	0x00F0      	MOVWF      R0
0x087A	0x085C      	MOVF       _vAc+1, 0
0x087B	0x00F1      	MOVWF      R0+1
0x087C	0x0872      	MOVF       R2, 0
L__main190:
0x087D	0x1903      	BTFSC      STATUS, 2
0x087E	0x2884      	GOTO       L__main191
0x087F	0x0DF0      	RLF        R0, 1
0x0880	0x0DF1      	RLF        R0+1, 1
0x0881	0x1070      	BCF        R0, 0
0x0882	0x3EFF      	ADDLW      255
0x0883	0x287D      	GOTO       L__main190
L__main191:
0x0884	0x30B8      	MOVLW      184
0x0885	0x00F4      	MOVWF      R4
0x0886	0x01F5      	CLRF       R4+1
0x0887	0x118A      	BCF        PCLATH, 3
0x0888	0x2199      	CALL       _Div_16x16_U
0x0889	0x158A      	BSF        PCLATH, 3
0x088A	0x0870      	MOVF       R0, 0
0x088B	0x00B2      	MOVWF      _chargingDuty_buffer
0x088C	0x0871      	MOVF       R0+1, 0
0x088D	0x00B3      	MOVWF      _chargingDuty_buffer+1
;demo_simple_8.c,648 :: 		if (delayCounter > 100){    // after 20 seconds go to normal
0x088E	0x0830      	MOVF       _delayCounter, 0
0x088F	0x3C64      	SUBLW      100
0x0890	0x1803      	BTFSC      STATUS, 0
0x0891	0x2899      	GOTO       L_main107
;demo_simple_8.c,649 :: 		chgDelay = 1;
0x0892	0x3001      	MOVLW      1
0x0893	0x00B5      	MOVWF      _chgDelay
;demo_simple_8.c,650 :: 		chargingEnabled = 1;
0x0894	0x3001      	MOVLW      1
0x0895	0x00A2      	MOVWF      _chargingEnabled
0x0896	0x3000      	MOVLW      0
0x0897	0x00A3      	MOVWF      _chargingEnabled+1
;demo_simple_8.c,652 :: 		}
0x0898	0x28D6      	GOTO       L_main108
L_main107:
;demo_simple_8.c,653 :: 		else if (delayCounter > 50){    // initial 10 seconds delay
0x0899	0x0830      	MOVF       _delayCounter, 0
0x089A	0x3C32      	SUBLW      50
0x089B	0x1803      	BTFSC      STATUS, 0
0x089C	0x28D4      	GOTO       L_main109
;demo_simple_8.c,655 :: 		adTemp = chargingDuty_buffer;
0x089D	0x0832      	MOVF       _chargingDuty_buffer, 0
0x089E	0x00B6      	MOVWF      _adTemp
0x089F	0x0833      	MOVF       _chargingDuty_buffer+1, 0
0x08A0	0x00B7      	MOVWF      _adTemp+1
;demo_simple_8.c,656 :: 		adTemp = 16 - (delayCounter - 50) + adTemp;
0x08A1	0x3032      	MOVLW      50
0x08A2	0x0230      	SUBWF      _delayCounter, 0
0x08A3	0x00F0      	MOVWF      R0
0x08A4	0x01F1      	CLRF       R0+1
0x08A5	0x1C03      	BTFSS      STATUS, 0
0x08A6	0x03F1      	DECF       R0+1, 1
0x08A7	0x0870      	MOVF       R0, 0
0x08A8	0x3C10      	SUBLW      16
0x08A9	0x00F0      	MOVWF      R0
0x08AA	0x0871      	MOVF       R0+1, 0
0x08AB	0x1C03      	BTFSS      STATUS, 0
0x08AC	0x3E01      	ADDLW      1
0x08AD	0x01F1      	CLRF       R0+1
0x08AE	0x02F1      	SUBWF      R0+1, 1
0x08AF	0x0870      	MOVF       R0, 0
0x08B0	0x07B6      	ADDWF      _adTemp, 1
0x08B1	0x0871      	MOVF       R0+1, 0
0x08B2	0x1803      	BTFSC      STATUS, 0
0x08B3	0x3E01      	ADDLW      1
0x08B4	0x07B7      	ADDWF      _adTemp+1, 1
;demo_simple_8.c,657 :: 		if (adTemp >= chargingDuty_buffer){
0x08B5	0x0833      	MOVF       _chargingDuty_buffer+1, 0
0x08B6	0x0237      	SUBWF      _adTemp+1, 0
0x08B7	0x1D03      	BTFSS      STATUS, 2
0x08B8	0x28BB      	GOTO       L__main192
0x08B9	0x0832      	MOVF       _chargingDuty_buffer, 0
0x08BA	0x0236      	SUBWF      _adTemp, 0
L__main192:
0x08BB	0x1C03      	BTFSS      STATUS, 0
0x08BC	0x28C1      	GOTO       L_main110
;demo_simple_8.c,658 :: 		chargingDuty_buffer = adTemp;
0x08BD	0x0836      	MOVF       _adTemp, 0
0x08BE	0x00B2      	MOVWF      _chargingDuty_buffer
0x08BF	0x0837      	MOVF       _adTemp+1, 0
0x08C0	0x00B3      	MOVWF      _chargingDuty_buffer+1
;demo_simple_8.c,659 :: 		}
L_main110:
;demo_simple_8.c,660 :: 		if (adTemp >= 46){
0x08C1	0x3000      	MOVLW      0
0x08C2	0x0237      	SUBWF      _adTemp+1, 0
0x08C3	0x1D03      	BTFSS      STATUS, 2
0x08C4	0x28C7      	GOTO       L__main193
0x08C5	0x302E      	MOVLW      46
0x08C6	0x0236      	SUBWF      _adTemp, 0
L__main193:
0x08C7	0x1C03      	BTFSS      STATUS, 0
0x08C8	0x28CD      	GOTO       L_main111
;demo_simple_8.c,661 :: 		chargingDuty_buffer = 46;
0x08C9	0x302E      	MOVLW      46
0x08CA	0x00B2      	MOVWF      _chargingDuty_buffer
0x08CB	0x3000      	MOVLW      0
0x08CC	0x00B3      	MOVWF      _chargingDuty_buffer+1
;demo_simple_8.c,662 :: 		}
L_main111:
;demo_simple_8.c,664 :: 		firing = chargingDuty_buffer;
0x08CD	0x0832      	MOVF       _chargingDuty_buffer, 0
0x08CE	0x00AF      	MOVWF      _firing
;demo_simple_8.c,665 :: 		chargingEnabled = 1;
0x08CF	0x3001      	MOVLW      1
0x08D0	0x00A2      	MOVWF      _chargingEnabled
0x08D1	0x3000      	MOVLW      0
0x08D2	0x00A3      	MOVWF      _chargingEnabled+1
;demo_simple_8.c,666 :: 		}
0x08D3	0x28D6      	GOTO       L_main112
L_main109:
;demo_simple_8.c,668 :: 		chargingEnabled = 0;
0x08D4	0x01A2      	CLRF       _chargingEnabled
0x08D5	0x01A3      	CLRF       _chargingEnabled+1
;demo_simple_8.c,669 :: 		}
L_main112:
L_main108:
;demo_simple_8.c,670 :: 		delayCounter2 = 0;
0x08D6	0x01B1      	CLRF       _delayCounter2
;demo_simple_8.c,671 :: 		}
0x08D7	0x28D8      	GOTO       L_main113
L_main106:
;demo_simple_8.c,674 :: 		}
L_main113:
;demo_simple_8.c,675 :: 		TMR1IF_bit = 0;
0x08D8	0x100C      	BCF        TMR1IF_bit, 0
;demo_simple_8.c,676 :: 		}
L_main105:
;demo_simple_8.c,677 :: 		}
0x08D9	0x28F7      	GOTO       L_main114
L_main104:
;demo_simple_8.c,679 :: 		firing = (vAc * 32)/184;    // 184 -> 220VAC
0x08DA	0x3005      	MOVLW      5
0x08DB	0x00F2      	MOVWF      R2
0x08DC	0x085B      	MOVF       _vAc, 0
0x08DD	0x00F0      	MOVWF      R0
0x08DE	0x085C      	MOVF       _vAc+1, 0
0x08DF	0x00F1      	MOVWF      R0+1
0x08E0	0x0872      	MOVF       R2, 0
L__main194:
0x08E1	0x1903      	BTFSC      STATUS, 2
0x08E2	0x28E8      	GOTO       L__main195
0x08E3	0x0DF0      	RLF        R0, 1
0x08E4	0x0DF1      	RLF        R0+1, 1
0x08E5	0x1070      	BCF        R0, 0
0x08E6	0x3EFF      	ADDLW      255
0x08E7	0x28E1      	GOTO       L__main194
L__main195:
0x08E8	0x30B8      	MOVLW      184
0x08E9	0x00F4      	MOVWF      R4
0x08EA	0x01F5      	CLRF       R4+1
0x08EB	0x118A      	BCF        PCLATH, 3
0x08EC	0x2199      	CALL       _Div_16x16_U
0x08ED	0x158A      	BSF        PCLATH, 3
0x08EE	0x0870      	MOVF       R0, 0
0x08EF	0x00AF      	MOVWF      _firing
;demo_simple_8.c,680 :: 		if (TMR1IF_bit){
0x08F0	0x1C0C      	BTFSS      TMR1IF_bit, 0
0x08F1	0x28F7      	GOTO       L_main115
;demo_simple_8.c,681 :: 		lcdCounter++;
0x08F2	0x0A5A      	INCF       _lcdCounter, 0
0x08F3	0x00F0      	MOVWF      R0
0x08F4	0x0870      	MOVF       R0, 0
0x08F5	0x00DA      	MOVWF      _lcdCounter
;demo_simple_8.c,682 :: 		TMR1IF_bit = 0;
0x08F6	0x100C      	BCF        TMR1IF_bit, 0
;demo_simple_8.c,683 :: 		}
L_main115:
;demo_simple_8.c,684 :: 		}
L_main114:
;demo_simple_8.c,685 :: 		}
0x08F7	0x28FF      	GOTO       L_main116
L_main103:
;demo_simple_8.c,687 :: 		if (TMR1IF_bit){
0x08F8	0x1C0C      	BTFSS      TMR1IF_bit, 0
0x08F9	0x28FF      	GOTO       L_main117
;demo_simple_8.c,688 :: 		lcdCounter++;
0x08FA	0x0A5A      	INCF       _lcdCounter, 0
0x08FB	0x00F0      	MOVWF      R0
0x08FC	0x0870      	MOVF       R0, 0
0x08FD	0x00DA      	MOVWF      _lcdCounter
;demo_simple_8.c,689 :: 		TMR1IF_bit = 0;
0x08FE	0x100C      	BCF        TMR1IF_bit, 0
;demo_simple_8.c,690 :: 		}
L_main117:
;demo_simple_8.c,691 :: 		}
L_main116:
;demo_simple_8.c,692 :: 		}
L_main102:
;demo_simple_8.c,695 :: 		if (T1CON == 0x11){
0x08FF	0x0810      	MOVF       T1CON, 0
0x0900	0x3A11      	XORLW      17
0x0901	0x1D03      	BTFSS      STATUS, 2
0x0902	0x2906      	GOTO       L_main118
;demo_simple_8.c,696 :: 		t1pr = 90;
0x0903	0x305A      	MOVLW      90
0x0904	0x00DD      	MOVWF      _t1pr
;demo_simple_8.c,697 :: 		}
0x0905	0x290F      	GOTO       L_main119
L_main118:
;demo_simple_8.c,698 :: 		else if (T1CON == 0x31){
0x0906	0x0810      	MOVF       T1CON, 0
0x0907	0x3A31      	XORLW      49
0x0908	0x1D03      	BTFSS      STATUS, 2
0x0909	0x290D      	GOTO       L_main120
;demo_simple_8.c,699 :: 		t1pr = 30;
0x090A	0x301E      	MOVLW      30
0x090B	0x00DD      	MOVWF      _t1pr
;demo_simple_8.c,700 :: 		}
0x090C	0x290F      	GOTO       L_main121
L_main120:
;demo_simple_8.c,702 :: 		t1pr = 60;
0x090D	0x303C      	MOVLW      60
0x090E	0x00DD      	MOVWF      _t1pr
;demo_simple_8.c,703 :: 		}
L_main121:
L_main119:
;demo_simple_8.c,705 :: 		if (lcdCounter == t1pr){
0x090F	0x085A      	MOVF       _lcdCounter, 0
0x0910	0x065D      	XORWF      _t1pr, 0
0x0911	0x1D03      	BTFSS      STATUS, 2
0x0912	0x2923      	GOTO       L_main122
;demo_simple_8.c,706 :: 		lcdState++;
0x0913	0x0A60      	INCF       _lcdState, 0
0x0914	0x00F0      	MOVWF      R0
0x0915	0x0870      	MOVF       R0, 0
0x0916	0x00E0      	MOVWF      _lcdState
;demo_simple_8.c,707 :: 		LCD_Cmd(_LCD_CLEAR);
0x0917	0x3001      	MOVLW      1
0x0918	0x00EC      	MOVWF      FARG_Lcd_Cmd_out_char
0x0919	0x118A      	BCF        PCLATH, 3
0x091A	0x20A1      	CALL       _Lcd_Cmd
0x091B	0x158A      	BSF        PCLATH, 3
;demo_simple_8.c,708 :: 		chgDot = 0;
0x091C	0x01D1      	CLRF       _chgDot
;demo_simple_8.c,709 :: 		if (lcdState >= maxLCDstates){
0x091D	0x3007      	MOVLW      7
0x091E	0x0260      	SUBWF      _lcdState, 0
0x091F	0x1C03      	BTFSS      STATUS, 0
0x0920	0x2922      	GOTO       L_main123
;demo_simple_8.c,710 :: 		lcdState = 0;
0x0921	0x01E0      	CLRF       _lcdState
;demo_simple_8.c,711 :: 		}
L_main123:
;demo_simple_8.c,712 :: 		lcdCounter = 0;
0x0922	0x01DA      	CLRF       _lcdCounter
;demo_simple_8.c,713 :: 		}
L_main122:
;demo_simple_8.c,715 :: 		switch (lcdState){
0x0923	0x2E2D      	GOTO       L_main124
;demo_simple_8.c,716 :: 		case 0:    // show company name
L_main126:
;demo_simple_8.c,717 :: 		case 1:
L_main127:
;demo_simple_8.c,719 :: 		LCD_Chr(1, 5, 'M');
0x0924	0x3001      	MOVLW      1
0x0925	0x00E9      	MOVWF      FARG_Lcd_Chr_row
0x0926	0x3005      	MOVLW      5
0x0927	0x00EA      	MOVWF      FARG_Lcd_Chr_column
0x0928	0x304D      	MOVLW      77
0x0929	0x00EB      	MOVWF      FARG_Lcd_Chr_out_char
0x092A	0x118A      	BCF        PCLATH, 3
0x092B	0x20F7      	CALL       _Lcd_Chr
0x092C	0x158A      	BSF        PCLATH, 3
;demo_simple_8.c,720 :: 		LCD_Chr_Cp(' ');
0x092D	0x3020      	MOVLW      32
0x092E	0x00E9      	MOVWF      FARG_Lcd_Chr_CP_out_char
0x092F	0x118A      	BCF        PCLATH, 3
0x0930	0x20E1      	CALL       _Lcd_Chr_CP
0x0931	0x158A      	BSF        PCLATH, 3
;demo_simple_8.c,721 :: 		LCD_Chr_Cp('M');
0x0932	0x304D      	MOVLW      77
0x0933	0x00E9      	MOVWF      FARG_Lcd_Chr_CP_out_char
0x0934	0x118A      	BCF        PCLATH, 3
0x0935	0x20E1      	CALL       _Lcd_Chr_CP
0x0936	0x158A      	BSF        PCLATH, 3
;demo_simple_8.c,722 :: 		LCD_Chr_Cp('i');
0x0937	0x3069      	MOVLW      105
0x0938	0x00E9      	MOVWF      FARG_Lcd_Chr_CP_out_char
0x0939	0x118A      	BCF        PCLATH, 3
0x093A	0x20E1      	CALL       _Lcd_Chr_CP
0x093B	0x158A      	BSF        PCLATH, 3
;demo_simple_8.c,723 :: 		LCD_Chr_Cp('c');
0x093C	0x3063      	MOVLW      99
0x093D	0x00E9      	MOVWF      FARG_Lcd_Chr_CP_out_char
0x093E	0x118A      	BCF        PCLATH, 3
0x093F	0x20E1      	CALL       _Lcd_Chr_CP
0x0940	0x158A      	BSF        PCLATH, 3
;demo_simple_8.c,724 :: 		LCD_Chr_Cp('r');
0x0941	0x3072      	MOVLW      114
0x0942	0x00E9      	MOVWF      FARG_Lcd_Chr_CP_out_char
0x0943	0x118A      	BCF        PCLATH, 3
0x0944	0x20E1      	CALL       _Lcd_Chr_CP
0x0945	0x158A      	BSF        PCLATH, 3
;demo_simple_8.c,725 :: 		LCD_Chr_Cp('o');
0x0946	0x306F      	MOVLW      111
0x0947	0x00E9      	MOVWF      FARG_Lcd_Chr_CP_out_char
0x0948	0x118A      	BCF        PCLATH, 3
0x0949	0x20E1      	CALL       _Lcd_Chr_CP
0x094A	0x158A      	BSF        PCLATH, 3
;demo_simple_8.c,727 :: 		LCD_Chr(2, 4, 'S');
0x094B	0x3002      	MOVLW      2
0x094C	0x00E9      	MOVWF      FARG_Lcd_Chr_row
0x094D	0x3004      	MOVLW      4
0x094E	0x00EA      	MOVWF      FARG_Lcd_Chr_column
0x094F	0x3053      	MOVLW      83
0x0950	0x00EB      	MOVWF      FARG_Lcd_Chr_out_char
0x0951	0x118A      	BCF        PCLATH, 3
0x0952	0x20F7      	CALL       _Lcd_Chr
0x0953	0x158A      	BSF        PCLATH, 3
;demo_simple_8.c,728 :: 		LCD_Chr_Cp('o');
0x0954	0x306F      	MOVLW      111
0x0955	0x00E9      	MOVWF      FARG_Lcd_Chr_CP_out_char
0x0956	0x118A      	BCF        PCLATH, 3
0x0957	0x20E1      	CALL       _Lcd_Chr_CP
0x0958	0x158A      	BSF        PCLATH, 3
;demo_simple_8.c,729 :: 		LCD_Chr_Cp('l');
0x0959	0x306C      	MOVLW      108
0x095A	0x00E9      	MOVWF      FARG_Lcd_Chr_CP_out_char
0x095B	0x118A      	BCF        PCLATH, 3
0x095C	0x20E1      	CALL       _Lcd_Chr_CP
0x095D	0x158A      	BSF        PCLATH, 3
;demo_simple_8.c,730 :: 		LCD_Chr_Cp('u');
0x095E	0x3075      	MOVLW      117
0x095F	0x00E9      	MOVWF      FARG_Lcd_Chr_CP_out_char
0x0960	0x118A      	BCF        PCLATH, 3
0x0961	0x20E1      	CALL       _Lcd_Chr_CP
0x0962	0x158A      	BSF        PCLATH, 3
;demo_simple_8.c,731 :: 		LCD_Chr_Cp('t');
0x0963	0x3074      	MOVLW      116
0x0964	0x00E9      	MOVWF      FARG_Lcd_Chr_CP_out_char
0x0965	0x118A      	BCF        PCLATH, 3
0x0966	0x20E1      	CALL       _Lcd_Chr_CP
0x0967	0x158A      	BSF        PCLATH, 3
;demo_simple_8.c,732 :: 		LCD_Chr_Cp('i');
0x0968	0x3069      	MOVLW      105
0x0969	0x00E9      	MOVWF      FARG_Lcd_Chr_CP_out_char
0x096A	0x118A      	BCF        PCLATH, 3
0x096B	0x20E1      	CALL       _Lcd_Chr_CP
0x096C	0x158A      	BSF        PCLATH, 3
;demo_simple_8.c,733 :: 		LCD_Chr_Cp('o');
0x096D	0x306F      	MOVLW      111
0x096E	0x00E9      	MOVWF      FARG_Lcd_Chr_CP_out_char
0x096F	0x118A      	BCF        PCLATH, 3
0x0970	0x20E1      	CALL       _Lcd_Chr_CP
0x0971	0x158A      	BSF        PCLATH, 3
;demo_simple_8.c,734 :: 		LCD_Chr_Cp('n');
0x0972	0x306E      	MOVLW      110
0x0973	0x00E9      	MOVWF      FARG_Lcd_Chr_CP_out_char
0x0974	0x118A      	BCF        PCLATH, 3
0x0975	0x20E1      	CALL       _Lcd_Chr_CP
0x0976	0x158A      	BSF        PCLATH, 3
;demo_simple_8.c,735 :: 		LCD_Chr_Cp('s');
0x0977	0x3073      	MOVLW      115
0x0978	0x00E9      	MOVWF      FARG_Lcd_Chr_CP_out_char
0x0979	0x118A      	BCF        PCLATH, 3
0x097A	0x20E1      	CALL       _Lcd_Chr_CP
0x097B	0x158A      	BSF        PCLATH, 3
;demo_simple_8.c,737 :: 		break;
0x097C	0x2E49      	GOTO       L_main125
;demo_simple_8.c,738 :: 		case 2:    // show mains state
L_main128:
;demo_simple_8.c,739 :: 		LCD_Chr(1, 1, 'M');
0x097D	0x3001      	MOVLW      1
0x097E	0x00E9      	MOVWF      FARG_Lcd_Chr_row
0x097F	0x3001      	MOVLW      1
0x0980	0x00EA      	MOVWF      FARG_Lcd_Chr_column
0x0981	0x304D      	MOVLW      77
0x0982	0x00EB      	MOVWF      FARG_Lcd_Chr_out_char
0x0983	0x118A      	BCF        PCLATH, 3
0x0984	0x20F7      	CALL       _Lcd_Chr
0x0985	0x158A      	BSF        PCLATH, 3
;demo_simple_8.c,740 :: 		LCD_Chr_Cp('a');
0x0986	0x3061      	MOVLW      97
0x0987	0x00E9      	MOVWF      FARG_Lcd_Chr_CP_out_char
0x0988	0x118A      	BCF        PCLATH, 3
0x0989	0x20E1      	CALL       _Lcd_Chr_CP
0x098A	0x158A      	BSF        PCLATH, 3
;demo_simple_8.c,741 :: 		LCD_Chr_Cp('i');
0x098B	0x3069      	MOVLW      105
0x098C	0x00E9      	MOVWF      FARG_Lcd_Chr_CP_out_char
0x098D	0x118A      	BCF        PCLATH, 3
0x098E	0x20E1      	CALL       _Lcd_Chr_CP
0x098F	0x158A      	BSF        PCLATH, 3
;demo_simple_8.c,742 :: 		LCD_Chr_Cp('n');
0x0990	0x306E      	MOVLW      110
0x0991	0x00E9      	MOVWF      FARG_Lcd_Chr_CP_out_char
0x0992	0x118A      	BCF        PCLATH, 3
0x0993	0x20E1      	CALL       _Lcd_Chr_CP
0x0994	0x158A      	BSF        PCLATH, 3
;demo_simple_8.c,743 :: 		LCD_Chr_Cp('s');
0x0995	0x3073      	MOVLW      115
0x0996	0x00E9      	MOVWF      FARG_Lcd_Chr_CP_out_char
0x0997	0x118A      	BCF        PCLATH, 3
0x0998	0x20E1      	CALL       _Lcd_Chr_CP
0x0999	0x158A      	BSF        PCLATH, 3
;demo_simple_8.c,744 :: 		LCD_Chr_Cp(' ');
0x099A	0x3020      	MOVLW      32
0x099B	0x00E9      	MOVWF      FARG_Lcd_Chr_CP_out_char
0x099C	0x118A      	BCF        PCLATH, 3
0x099D	0x20E1      	CALL       _Lcd_Chr_CP
0x099E	0x158A      	BSF        PCLATH, 3
;demo_simple_8.c,745 :: 		LCD_Chr_Cp('V');
0x099F	0x3056      	MOVLW      86
0x09A0	0x00E9      	MOVWF      FARG_Lcd_Chr_CP_out_char
0x09A1	0x118A      	BCF        PCLATH, 3
0x09A2	0x20E1      	CALL       _Lcd_Chr_CP
0x09A3	0x158A      	BSF        PCLATH, 3
;demo_simple_8.c,746 :: 		LCD_Chr_Cp(':');
0x09A4	0x303A      	MOVLW      58
0x09A5	0x00E9      	MOVWF      FARG_Lcd_Chr_CP_out_char
0x09A6	0x118A      	BCF        PCLATH, 3
0x09A7	0x20E1      	CALL       _Lcd_Chr_CP
0x09A8	0x158A      	BSF        PCLATH, 3
;demo_simple_8.c,748 :: 		num = (vAc * 220) / 184;
0x09A9	0x085B      	MOVF       _vAc, 0
0x09AA	0x00F0      	MOVWF      R0
0x09AB	0x085C      	MOVF       _vAc+1, 0
0x09AC	0x00F1      	MOVWF      R0+1
0x09AD	0x30DC      	MOVLW      220
0x09AE	0x00F4      	MOVWF      R4
0x09AF	0x01F5      	CLRF       R4+1
0x09B0	0x118A      	BCF        PCLATH, 3
0x09B1	0x216E      	CALL       _Mul_16x16_U
0x09B2	0x158A      	BSF        PCLATH, 3
0x09B3	0x30B8      	MOVLW      184
0x09B4	0x00F4      	MOVWF      R4
0x09B5	0x01F5      	CLRF       R4+1
0x09B6	0x118A      	BCF        PCLATH, 3
0x09B7	0x2199      	CALL       _Div_16x16_U
0x09B8	0x158A      	BSF        PCLATH, 3
0x09B9	0x0870      	MOVF       R0, 0
0x09BA	0x00D5      	MOVWF      _num
0x09BB	0x0871      	MOVF       R0+1, 0
0x09BC	0x00D6      	MOVWF      _num+1
;demo_simple_8.c,749 :: 		numToOne();
0x09BD	0x118A      	BCF        PCLATH, 3
0x09BE	0x2515      	CALL       _numToOne
0x09BF	0x158A      	BSF        PCLATH, 3
;demo_simple_8.c,751 :: 		LCD_Chr(1, 12, '~');
0x09C0	0x3001      	MOVLW      1
0x09C1	0x00E9      	MOVWF      FARG_Lcd_Chr_row
0x09C2	0x300C      	MOVLW      12
0x09C3	0x00EA      	MOVWF      FARG_Lcd_Chr_column
0x09C4	0x307E      	MOVLW      126
0x09C5	0x00EB      	MOVWF      FARG_Lcd_Chr_out_char
0x09C6	0x118A      	BCF        PCLATH, 3
0x09C7	0x20F7      	CALL       _Lcd_Chr
0x09C8	0x158A      	BSF        PCLATH, 3
;demo_simple_8.c,752 :: 		LCD_Chr_Cp(hundreds);
0x09C9	0x0854      	MOVF       _hundreds, 0
0x09CA	0x00E9      	MOVWF      FARG_Lcd_Chr_CP_out_char
0x09CB	0x118A      	BCF        PCLATH, 3
0x09CC	0x20E1      	CALL       _Lcd_Chr_CP
0x09CD	0x158A      	BSF        PCLATH, 3
;demo_simple_8.c,753 :: 		LCD_Chr_Cp(tens);
0x09CE	0x085E      	MOVF       _tens, 0
0x09CF	0x00E9      	MOVWF      FARG_Lcd_Chr_CP_out_char
0x09D0	0x118A      	BCF        PCLATH, 3
0x09D1	0x20E1      	CALL       _Lcd_Chr_CP
0x09D2	0x158A      	BSF        PCLATH, 3
;demo_simple_8.c,754 :: 		LCD_Chr_Cp(ones);
0x09D3	0x085F      	MOVF       _ones, 0
0x09D4	0x00E9      	MOVWF      FARG_Lcd_Chr_CP_out_char
0x09D5	0x118A      	BCF        PCLATH, 3
0x09D6	0x20E1      	CALL       _Lcd_Chr_CP
0x09D7	0x158A      	BSF        PCLATH, 3
;demo_simple_8.c,755 :: 		LCD_Chr_Cp('V');
0x09D8	0x3056      	MOVLW      86
0x09D9	0x00E9      	MOVWF      FARG_Lcd_Chr_CP_out_char
0x09DA	0x118A      	BCF        PCLATH, 3
0x09DB	0x20E1      	CALL       _Lcd_Chr_CP
0x09DC	0x158A      	BSF        PCLATH, 3
;demo_simple_8.c,757 :: 		LCD_Chr(2, 3, 'M');
0x09DD	0x3002      	MOVLW      2
0x09DE	0x00E9      	MOVWF      FARG_Lcd_Chr_row
0x09DF	0x3003      	MOVLW      3
